country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,West_Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB","04-09-2025 21:00:00",22.627847,88.380669,PM2.5,5,45,13
India,West_Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB","04-09-2025 21:00:00",22.51106,88.35142,PM10,23,24,23
India,West_Bengal,Howrah,"Botanical Garden, Howrah - WBPCB","04-09-2025 21:00:00",22.554954,88.292568,NO2,9,53,24
India,West_Bengal,Howrah,"Botanical Garden, Howrah - WBPCB","04-09-2025 21:00:00",22.554954,88.292568,OZONE,19,21,21
India,West_Bengal,Howrah,"Dasnagar, Howrah - WBPCB","04-09-2025 21:00:00",22.6025571,88.3105664,PM2.5,5,51,23
India,West_Bengal,Howrah,"Dasnagar, Howrah - WBPCB","04-09-2025 21:00:00",22.6025571,88.3105664,PM10,17,41,30
India,West_Bengal,Howrah,"Ghusuri, Howrah - WBPCB","04-09-2025 21:00:00",22.611968,88.347422,PM2.5,11,44,20
India,West_Bengal,Howrah,"Ghusuri, Howrah - WBPCB","04-09-2025 21:00:00",22.611968,88.347422,SO2,3,7,5
India,Uttar_Pradesh,Moradabad,"Transport Nagar, Moradabad - UPPCB","04-09-2025 21:00:00",28.802625,78.753728,OZONE,27,42,36
India,Uttar_Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB","04-09-2025 21:00:00",29.4723508,77.7194031,NO2,14,48,30
India,Uttar_Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB","04-09-2025 21:00:00",29.4723508,77.7194031,SO2,15,38,22
India,Uttar_Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB","04-09-2025 21:00:00",29.4723508,77.7194031,OZONE,12,67,48
India,Uttar_Pradesh,Noida,"Sector-1, Noida - UPPCB","04-09-2025 21:00:00",28.5898,77.3101,NH3,14,23,16
India,Uttar_Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB","04-09-2025 21:00:00",28.88528,78.73880,NH3,4,4,4
India,Uttar_Pradesh,Moradabad,"Jigar Colony, Moradabad - UPPCB","04-09-2025 21:00:00",28.856664,78.772638,PM10,25,75,44
India,Uttar_Pradesh,Moradabad,"Kashiram Nagar, Moradabad - UPPCB","04-09-2025 21:00:00",28.849399,78.742362,NO2,25,25,25
India,Uttar_Pradesh,Moradabad,"Transport Nagar, Moradabad - UPPCB","04-09-2025 21:00:00",28.802625,78.753728,PM2.5,19,315,95
India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB","04-09-2025 21:00:00",22.5448082,88.3403691,PM2.5,39,55,45
India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB","04-09-2025 21:00:00",22.5448082,88.3403691,PM10,39,51,43
India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB","04-09-2025 21:00:00",22.5448082,88.3403691,SO2,3,12,6
India,West_Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB","04-09-2025 21:00:00",26.6879226,88.4152495,SO2,10,12,11
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","04-09-2025 21:00:00",25.42742023,86.13886079,OZONE,24,60,42
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","04-09-2025 21:00:00",26.80365,84.51954,PM10,9,58,35
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","04-09-2025 21:00:00",26.80365,84.51954,CO,36,80,60
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","04-09-2025 21:00:00",26.80365,84.51954,OZONE,20,27,25
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","04-09-2025 21:00:00",25.251013,86.989001,NO2,17,26,22
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","04-09-2025 21:00:00",25.265194,87.012947,PM10,8,50,23
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","04-09-2025 21:00:00",25.265194,87.012947,NH3,5,5,5
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","04-09-2025 21:00:00",25.567520,83.966379,NO2,9,10,9
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","04-09-2025 21:00:00",17.72,83.3,PM10,74,200,137
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","04-09-2025 21:00:00",17.72,83.3,CO,4,115,32
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","04-09-2025 21:00:00",26.071318,91.87488,NO2,6,10,7
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","04-09-2025 21:00:00",26.071318,91.87488,NH3,4,4,4
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","04-09-2025 21:00:00",26.071318,91.87488,CO,42,71,59
India,Assam,Guwahati,"IITG, Guwahati - PCBA","04-09-2025 21:00:00",26.2028636,91.70046436,PM10,29,65,45
India,Assam,Guwahati,"IITG, Guwahati - PCBA","04-09-2025 21:00:00",26.2028636,91.70046436,SO2,22,26,24
India,Assam,Guwahati,"IITG, Guwahati - PCBA","04-09-2025 21:00:00",26.2028636,91.70046436,CO,2,11,7
India,Assam,Guwahati,"IITG, Guwahati - PCBA","04-09-2025 21:00:00",26.2028636,91.70046436,OZONE,1,36,14
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","04-09-2025 21:00:00",14.675886,77.593027,OZONE,13,17,16
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","04-09-2025 21:00:00",13.204880,79.097889,PM2.5,62,88,74
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","04-09-2025 21:00:00",13.204880,79.097889,PM10,62,87,74
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","04-09-2025 21:00:00",14.465052,78.824187,NO2,10,12,11
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","04-09-2025 21:00:00",16.9872867,81.7363176,NH3,1,5,2
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","04-09-2025 21:00:00",13.67,79.35,PM2.5,16,41,26
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","04-09-2025 21:00:00",25.697189,85.245900,CO,10,18,12
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","04-09-2025 21:00:00",25.560083,87.553265,NH3,1,1,1
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","04-09-2025 21:00:00",26.0881305,87.93840336,PM10,35,103,48
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","04-09-2025 21:00:00",26.0881305,87.93840336,NO2,7,8,8
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","04-09-2025 21:00:00",27.308328,84.531742,PM2.5,2,50,12
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","04-09-2025 21:00:00",27.308328,84.531742,OZONE,11,33,24
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","04-09-2025 21:00:00",25.567520,83.966379,OZONE,1,153,40
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","04-09-2025 21:00:00",24.7955,84.9994,CO,6,54,22
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","04-09-2025 21:00:00",24.762518,84.982348,PM2.5,3,185,28
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","04-09-2025 21:00:00",24.762518,84.982348,OZONE,9,42,33
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","04-09-2025 21:00:00",25.697189,85.245900,PM2.5,16,52,33
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","04-09-2025 21:00:00",13.67,79.35,SO2,2,4,3
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","04-09-2025 21:00:00",16.536107,80.594233,PM2.5,62,79,69
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","04-09-2025 21:00:00",16.536107,80.594233,SO2,14,21,18
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","04-09-2025 21:00:00",16.554731,80.649110,CO,18,30,23
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","04-09-2025 21:00:00",16.554731,80.649110,OZONE,67,90,82
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","04-09-2025 21:00:00",26.987634,94.636574,NO2,11,23,15
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","04-09-2025 21:00:00",26.146529,87.454184,PM2.5,42,54,44
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","04-09-2025 21:00:00",24.75746,84.366208,PM2.5,NA,NA,NA
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","04-09-2025 21:00:00",24.75746,84.366208,NH3,1,2,1
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","04-09-2025 21:00:00",26.1403345,85.3650192,CO,42,76,66
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","04-09-2025 21:00:00",25.586562,85.043586,PM10,NA,NA,NA
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","04-09-2025 21:00:00",25.586562,85.043586,NO2,NA,NA,NA
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","04-09-2025 21:00:00",25.586562,85.043586,SO2,NA,NA,NA
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","04-09-2025 21:00:00",25.586562,85.043586,OZONE,NA,NA,NA
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","04-09-2025 21:00:00",11.654054,92.734055,SO2,NA,NA,NA
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","04-09-2025 21:00:00",11.654054,92.734055,OZONE,4,5,4
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","04-09-2025 21:00:00",16.5150833,80.5181667,NH3,1,5,4
India,Assam,Silchar,"Tarapur, Silchar - PCBA","04-09-2025 21:00:00",24.82827,92.79525,PM2.5,40,42,41
India,Assam,Silchar,"Tarapur, Silchar - PCBA","04-09-2025 21:00:00",24.82827,92.79525,NH3,1,1,1
India,Assam,Silchar,"Tarapur, Silchar - PCBA","04-09-2025 21:00:00",24.82827,92.79525,SO2,1,25,10
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","04-09-2025 21:00:00",25.859655,85.77944,SO2,18,40,30
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","04-09-2025 21:00:00",25.859655,85.77944,CO,1,42,18
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","04-09-2025 21:00:00",26.2271665,84.3570427,CO,45,46,46
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","04-09-2025 21:00:00",26.2271665,84.3570427,OZONE,4,14,6
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","04-09-2025 21:00:00",30.735567,76.775714,SO2,1,4,2
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","04-09-2025 21:00:00",30.735567,76.775714,OZONE,2,16,9
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","04-09-2025 21:00:00",30.751462,76.762879,PM10,NA,NA,NA
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","04-09-2025 21:00:00",28.7256504,77.2011573,PM10,18,76,41
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","04-09-2025 21:00:00",28.5512005,77.2735737,PM2.5,3,81,36
India,Delhi,Delhi,"DTU, Delhi - CPCB","04-09-2025 21:00:00",28.7500499,77.1112615,NO2,52,71,60
India,Delhi,Delhi,"DTU, Delhi - CPCB","04-09-2025 21:00:00",28.7500499,77.1112615,NH3,7,14,9
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","04-09-2025 21:00:00",28.498571,77.264840,PM2.5,10,70,37
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","04-09-2025 21:00:00",28.498571,77.264840,NH3,3,7,5
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","04-09-2025 21:00:00",28.498571,77.264840,CO,14,106,42
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","04-09-2025 21:00:00",25.592539,85.227158,SO2,20,49,22
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","04-09-2025 21:00:00",25.610369,85.132568,CO,91,103,98
India,Bihar,Patna,"Muradpur, Patna - BSPCB","04-09-2025 21:00:00",25.619651,85.147382,PM10,53,82,66
India,Bihar,Patna,"Muradpur, Patna - BSPCB","04-09-2025 21:00:00",25.619651,85.147382,SO2,11,15,13
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","04-09-2025 21:00:00",25.599486,85.113666,PM10,20,37,26
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","04-09-2025 21:00:00",25.599486,85.113666,NH3,1,2,2
